"2024-01-03-06-00",0.04
"2024-01-03-07-00",0.81
"2024-01-03-08-00",1.57
"2024-01-03-09-00",2.67
"2024-01-03-10-00",6.46
"2024-01-03-11-00",3.59
"2024-01-03-12-00",2.45
"2024-01-03-13-00",1.48
"2024-01-03-14-00",0.71
"2024-01-03-15-00",0.03
"2024-01-04-05-00",0.
"2024-01-04-06-00",0.03
"2024-01-04-07-00",0.46
"2024-01-04-08-00",1.92
"2024-01-04-09-00",3.56
"2024-01-04-10-00",3.08
"2024-01-04-11-00",3.21
"2024-01-04-12-00",3.21
"2024-01-04-13-00",2.22
"2024-01-04-14-00",0.7
"2024-01-04-15-00",0.
"2024-01-05-05-00",0.
"2024-01-05-06-00",0.1
"2024-01-05-07-00",0.58
"2024-01-05-08-00",1.11
"2024-01-05-09-00",4.01
"2024-01-05-10-00",6.18
"2024-01-05-11-00",3.75
"2024-01-05-12-00",1.91
"2024-01-05-13-00",1.4
"2024-01-05-14-00",0.39
"2024-01-05-15-00",0.
"2024-01-06-06-00",0.
"2024-01-06-07-00",0.13
"2024-01-06-08-00",0.56
"2024-01-06-09-00",1.1
"2024-01-06-10-00",1.03
"2024-01-06-11-00",1.05
"2024-01-06-12-00",0.72
"2024-01-06-13-00",0.24
"2024-01-06-14-00",0.05
"2024-01-06-15-00",0.
"2024-01-07-06-00",0.
"2024-01-07-07-00",0.
"2024-01-07-08-00",0.21
"2024-01-07-09-00",0.43
"2024-01-07-10-00",0.94
"2024-01-07-11-00",0.88
"2024-01-07-12-00",0.57
"2024-01-07-13-00",0.65
"2024-01-07-14-00",0.21
"2024-01-07-15-00",0.
"2024-01-08-06-00",0.
"2024-01-08-07-00",0.11
"2024-01-08-08-00",0.63
"2024-01-08-09-00",1.48
"2024-01-08-10-00",3.18
"2024-01-08-11-00",3.59
"2024-01-08-12-00",2.12
"2024-01-08-13-00",1.24
"2024-01-08-14-00",0.58
"2024-01-08-15-00",0.01
"2024-01-09-05-00",0.
"2024-01-09-06-00",0.
"2024-01-09-07-00",0.63
"2024-01-09-08-00",1.9
"2024-01-09-09-00",3.18
"2024-01-09-10-00",5.02
"2024-01-09-11-00",5.98
"2024-01-09-12-00",3.35
"2024-01-09-13-00",1.
"2024-01-09-14-00",0.31
"2024-01-09-15-00",0.01
"2024-01-09-16-00",0.
"2024-01-10-05-00",0.
"2024-01-10-06-00",0.05
"2024-01-10-07-00",0.48
"2024-01-10-08-00",0.95
"2024-01-10-09-00",4.44
"2024-01-10-10-00",6.83
"2024-01-10-11-00",6.18
"2024-01-10-12-00",3.83
"2024-01-10-13-00",1.12
"2024-01-10-14-00",0.38
"2024-01-10-15-00",0.01
"2024-01-10-16-00",0.
"2024-01-11-05-00",0.
"2024-01-11-06-00",0.05
"2024-01-11-07-00",0.47
"2024-01-11-08-00",0.93
"2024-01-11-09-00",4.56
"2024-01-11-10-00",7.
"2024-01-11-11-00",6.49
"2024-01-11-12-00",4.63
"2024-01-11-13-00",2.36
"2024-01-11-14-00",0.68
"2024-01-11-15-00",0.02
"2024-01-11-16-00",0.
"2024-01-12-05-00",0.
"2024-01-12-06-00",0.03
"2024-01-12-07-00",0.42
"2024-01-12-08-00",1.04
"2024-01-12-09-00",4.56
"2024-01-12-10-00",5.63
"2024-01-12-11-00",3.44
"2024-01-12-12-00",2.71
"2024-01-12-13-00",1.67
"2024-01-12-14-00",0.55
"2024-01-12-15-00",0.02
"2024-01-12-16-00",0.
"2024-01-13-05-00",0.
"2024-01-13-06-00",0.08
"2024-01-13-07-00",0.39
"2024-01-13-08-00",0.93
"2024-01-13-09-00",1.11
"2024-01-13-10-00",1.96
"2024-01-13-11-00",3.12
"2024-01-13-12-00",1.74
"2024-01-13-13-00",1.45
"2024-01-13-14-00",0.43
"2024-01-13-15-00",0.02
"2024-01-13-16-00",0.
"2024-01-14-05-00",0.
"2024-01-14-06-00",0.07
"2024-01-14-07-00",0.71
"2024-01-14-08-00",1.46
"2024-01-14-09-00",5.57
"2024-01-14-10-00",4.44
"2024-01-14-11-00",7.46
"2024-01-14-12-00",4.07
"2024-01-14-13-00",0.98
"2024-01-14-14-00",0.4
"2024-01-14-15-00",0.
"2024-01-15-05-00",0.
"2024-01-15-06-00",0.11
"2024-01-15-07-00",0.39
"2024-01-15-08-00",1.03
"2024-01-15-09-00",4.57
"2024-01-15-10-00",7.08
"2024-01-15-11-00",6.9
"2024-01-15-12-00",4.17
"2024-01-15-13-00",1.35
"2024-01-15-14-00",0.47
"2024-01-15-15-00",0.01
"2024-01-15-16-00",0.
"2024-01-16-05-00",0.
"2024-01-16-06-00",0.07
"2024-01-16-07-00",0.82
"2024-01-16-08-00",2.23
"2024-01-16-09-00",4.93
"2024-01-16-10-00",7.37
"2024-01-16-11-00",6.54
"2024-01-16-12-00",4.75
"2024-01-16-13-00",1.79
"2024-01-16-14-00",0.74
"2024-01-16-15-00",0.03
"2024-01-16-16-00",0.
"2024-01-17-05-00",0.
"2024-01-17-06-00",0.
"2024-01-17-07-00",0.09
"2024-01-17-08-00",0.29
"2024-01-17-09-00",0.73
"2024-01-17-10-00",1.63
"2024-01-17-11-00",1.17
"2024-01-17-12-00",0.73
"2024-01-17-13-00",0.51
"2024-01-17-14-00",0.07
"2024-01-17-15-00",0.
"2024-01-18-05-00",0.
"2024-01-18-06-00",0.
"2024-01-18-07-00",0.16
"2024-01-18-08-00",0.86
"2024-01-18-09-00",1.58
"2024-01-18-10-00",1.4
"2024-01-18-11-00",1.56
"2024-01-18-12-00",0.98
"2024-01-18-13-00",1.95
"2024-01-18-14-00",0.67
"2024-01-18-15-00",0.02
"2024-01-18-16-00",0.
"2024-01-19-05-00",0.
"2024-01-19-06-00",0.
"2024-01-19-07-00",0.27
"2024-01-19-08-00",1.02
"2024-01-19-09-00",0.51
"2024-01-19-10-00",0.44
"2024-01-19-11-00",0.12
"2024-01-19-12-00",0.15
"2024-01-19-13-00",0.06
"2024-01-19-14-00",0.
"2024-01-19-15-00",0.
"2024-01-20-05-00",0.
"2024-01-20-06-00",0.
"2024-01-20-07-00",0.
"2024-01-20-08-00",0.02
"2024-01-20-09-00",0.54
"2024-01-20-10-00",0.92
"2024-01-20-11-00",1.16
"2024-01-20-12-00",4.06
"2024-01-20-13-00",2.15
"2024-01-20-14-00",0.5
"2024-01-20-15-00",0.05
"2024-01-20-16-00",0.
"2024-01-21-05-00",0.
"2024-01-21-06-00",0.11
"2024-01-21-07-00",0.56
"2024-01-21-08-00",1.24
"2024-01-21-09-00",5.4
"2024-01-21-10-00",7.92
"2024-01-21-11-00",7.54
"2024-01-21-12-00",5.48
"2024-01-21-13-00",2.2
"2024-01-21-14-00",0.61
"2024-01-21-15-00",0.06
"2024-01-21-16-00",0.
"2024-01-22-05-00",0.
"2024-01-22-06-00",0.16
"2024-01-22-07-00",1.17
"2024-01-22-08-00",1.7
"2024-01-22-09-00",5.33
"2024-01-22-10-00",7.9
"2024-01-22-11-00",7.29
"2024-01-22-12-00",4.75
"2024-01-22-13-00",3.06
"2024-01-22-14-00",1.29
"2024-01-22-15-00",0.07
"2024-01-22-16-00",0.
"2024-01-23-05-00",0.
"2024-01-23-06-00",0.21
"2024-01-23-07-00",0.83
"2024-01-23-08-00",2.18
"2024-01-23-09-00",4.33
"2024-01-23-10-00",7.06
"2024-01-23-11-00",7.22
"2024-01-23-12-00",3.87
"2024-01-23-13-00",3.35
"2024-01-23-14-00",1.08
"2024-01-23-15-00",0.08
"2024-01-23-16-00",0.
"2024-01-24-05-00",0.
"2024-01-24-06-00",0.11
"2024-01-24-07-00",1.08
"2024-01-24-08-00",0.98
"2024-01-24-09-00",0.8
"2024-01-24-10-00",1.15
"2024-01-24-11-00",0.81
"2024-01-24-12-00",1.31
"2024-01-24-13-00",0.78
"2024-01-24-14-00",0.66
"2024-01-24-15-00",0.04
"2024-01-24-16-00",0.
"2024-01-25-05-00",0.
"2024-01-25-06-00",0.18
"2024-01-25-07-00",0.63
"2024-01-25-08-00",1.37
"2024-01-25-09-00",4.63
"2024-01-25-10-00",3.88
"2024-01-25-11-00",6.37
"2024-01-25-12-00",5.5
"2024-01-25-13-00",2.7
"2024-01-25-14-00",0.77
"2024-01-25-15-00",0.14
"2024-01-25-16-00",0.
"2024-01-26-05-00",0.
"2024-01-26-06-00",0.12
"2024-01-26-07-00",0.51
"2024-01-26-08-00",1.26
"2024-01-26-09-00",5.97
"2024-01-26-10-00",8.61
"2024-01-26-11-00",8.36
"2024-01-26-12-00",6.23
"2024-01-26-13-00",2.72
"2024-01-26-14-00",1.15
"2024-01-26-15-00",0.06
"2024-01-26-16-00",0.
"2024-01-27-05-00",0.
"2024-01-27-06-00",0.13
"2024-01-27-07-00",0.55
"2024-01-27-08-00",1.19
"2024-01-27-09-00",4.5
"2024-01-27-10-00",8.04
"2024-01-27-11-00",8.17
"2024-01-27-12-00",6.32
"2024-01-27-13-00",2.54
"2024-01-27-14-00",0.74
"2024-01-27-15-00",0.05
"2024-01-27-16-00",0.
"2024-01-28-05-00",0.
"2024-01-28-06-00",0.14
"2024-01-28-07-00",0.56
"2024-01-28-08-00",1.4
"2024-01-28-09-00",6.17
"2024-01-28-10-00",8.8
"2024-01-28-11-00",8.44
"2024-01-28-12-00",6.3
"2024-01-28-13-00",2.89
"2024-01-28-14-00",0.65
"2024-01-28-15-00",0.12
"2024-01-28-16-00",0.
"2024-01-29-05-00",0.
"2024-01-29-06-00",0.15
"2024-01-29-07-00",0.61
"2024-01-29-08-00",1.5
"2024-01-29-09-00",6.18
"2024-01-29-10-00",8.74
"2024-01-29-11-00",8.52
"2024-01-29-12-00",6.4
"2024-01-29-13-00",3.01
"2024-01-29-14-00",0.66
"2024-01-29-15-00",0.13
"2024-01-29-16-00",0.
"2024-01-30-05-00",0.
"2024-01-30-06-00",0.16
"2024-01-30-07-00",0.74
"2024-01-30-08-00",2.5
"2024-01-30-09-00",5.42
"2024-01-30-10-00",7.61
"2024-01-30-11-00",7.98
"2024-01-30-12-00",6.59
"2024-01-30-13-00",3.22
"2024-01-30-14-00",0.66
"2024-01-30-15-00",0.14
"2024-01-30-16-00",0.
"2024-01-31-05-00",0.
"2024-01-31-06-00",0.23
"2024-01-31-07-00",1.14
"2024-01-31-08-00",3.28
"2024-01-31-09-00",4.9
"2024-01-31-10-00",6.3
"2024-01-31-11-00",5.91
"2024-01-31-12-00",5.45
"2024-01-31-13-00",2.68
"2024-01-31-14-00",1.2
"2024-01-31-15-00",0.2
"2024-01-31-16-00",0.
"2024-02-01-05-00",0.
"2024-02-01-06-00",0.07
"2024-02-01-07-00",0.31
"2024-02-01-08-00",0.67
"2024-02-01-09-00",3.46
"2024-02-01-10-00",6.63
"2024-02-01-11-00",5.34
"2024-02-01-12-00",2.66
"2024-02-01-13-00",0.77
"2024-02-01-14-00",0.53
"2024-02-01-15-00",0.09
"2024-02-02-05-00",0.
"2024-02-02-06-00",0.2
"2024-02-02-07-00",1.07
"2024-02-02-08-00",2.66
"2024-02-02-09-00",4.24
"2024-02-02-10-00",5.18
"2024-02-02-11-00",7.87
"2024-02-02-12-00",6.82
"2024-02-02-13-00",3.63
"2024-02-02-14-00",1.26
"2024-02-02-15-00",0.24
"2024-02-03-05-00",0.
"2024-02-03-06-00",0.13
"2024-02-03-07-00",0.95
"2024-02-03-08-00",2.22
"2024-02-03-09-00",2.4
"2024-02-03-10-00",6.92
"2024-02-03-11-00",5.83
"2024-02-03-12-00",3.94
"2024-02-03-13-00",1.94
"2024-02-03-14-00",1.16
"2024-02-03-15-00",0.08
"2024-02-04-05-00",0.
"2024-02-04-06-00",0.23
"2024-02-04-07-00",1.43
"2024-02-04-08-00",2.1
"2024-02-04-09-00",4.02
"2024-02-04-10-00",5.28
"2024-02-04-11-00",5.76
"2024-02-04-12-00",5.27
"2024-02-04-13-00",2.46
"2024-02-04-14-00",2.06
"2024-02-04-15-00",0.34
"2024-02-05-05-00",0.
"2024-02-05-06-00",0.29
"2024-02-05-07-00",1.31
"2024-02-05-08-00",2.25
"2024-02-05-09-00",4.28
"2024-02-05-10-00",9.56
"2024-02-05-11-00",10.64
"2024-02-05-12-00",6.57
"2024-02-05-13-00",3.11
"2024-02-05-14-00",1.35
"2024-02-05-15-00",0.37
"2024-02-06-05-00",0.
"2024-02-06-06-00",0.36
"2024-02-06-07-00",1.23
"2024-02-06-08-00",2.26
"2024-02-06-09-00",5.23
"2024-02-06-10-00",9.42
"2024-02-06-11-00",9.
"2024-02-06-12-00",7.21
"2024-02-06-13-00",3.5
"2024-02-06-14-00",0.85
"2024-02-06-15-00",0.22
"2024-02-07-05-00",0.
"2024-02-07-06-00",0.24
"2024-02-07-07-00",0.76
"2024-02-07-08-00",2.02
"2024-02-07-09-00",6.88
"2024-02-07-10-00",9.58
"2024-02-07-11-00",9.62
"2024-02-07-12-00",3.97
"2024-02-07-13-00",4.08
"2024-02-07-14-00",1.13
"2024-02-07-15-00",0.24
"2024-02-08-05-00",0.
"2024-02-08-06-00",0.38
"2024-02-08-07-00",1.71
"2024-02-08-08-00",2.62
"2024-02-08-09-00",7.22
"2024-02-08-10-00",10.87
"2024-02-08-11-00",9.76
"2024-02-08-12-00",7.78
"2024-02-08-13-00",4.18
"2024-02-08-14-00",1.
"2024-02-08-15-00",0.31
"2024-02-08-16-00",0.86
"2024-02-08-17-00",0.15
"2024-02-08-18-00",0.
"2024-02-09-07-00",0.
"2024-02-09-08-00",0.82
"2024-02-09-09-00",2.13
"2024-02-09-10-00",3.26
"2024-02-09-11-00",1.72
"2024-02-09-12-00",3.2
"2024-02-09-13-00",3.11
"2024-02-09-14-00",3.44
"2024-02-09-15-00",2.33
"2024-02-09-16-00",0.37
"2024-02-09-17-00",0.01
"2024-02-10-07-00",0.
"2024-02-10-08-00",0.45
"2024-02-10-09-00",1.01
"2024-02-10-10-00",3.4
"2024-02-10-11-00",8.35
"2024-02-10-12-00",9.35
"2024-02-10-13-00",7.16
"2024-02-10-14-00",6.04
"2024-02-10-15-00",4.01
"2024-02-10-16-00",1.19
"2024-02-10-17-00",0.1
"2024-02-10-18-00",0.
"2024-02-11-07-00",0.
"2024-02-11-08-00",0.89
"2024-02-11-09-00",1.38
"2024-02-11-10-00",1.44
"2024-02-11-11-00",2.27
"2024-02-11-12-00",3.55
"2024-02-11-13-00",2.82
"2024-02-11-14-00",3.16
"2024-02-11-15-00",3.17
"2024-02-11-16-00",1.04
"2024-02-11-17-00",0.1
"2024-02-11-18-00",0.
"2024-02-12-07-00",0.
"2024-02-12-08-00",0.23
"2024-02-12-09-00",1.02
"2024-02-12-10-00",1.61
"2024-02-12-11-00",3.06
"2024-02-12-12-00",3.27
"2024-02-12-13-00",2.77
"2024-02-12-14-00",3.01
"2024-02-12-15-00",1.5
"2024-02-12-16-00",0.46
"2024-02-12-17-00",0.08
"2024-02-12-18-00",0.
"2024-02-13-07-00",0.02
"2024-02-13-08-00",0.6
"2024-02-13-09-00",0.91
"2024-02-13-10-00",4.24
"2024-02-13-11-00",9.64
"2024-02-13-12-00",11.51
"2024-02-13-13-00",9.34
"2024-02-13-14-00",5.52
"2024-02-13-15-00",4.28
"2024-02-13-16-00",0.98
"2024-02-13-17-00",0.22
"2024-02-13-18-00",0.
"2024-02-14-07-00",0.05
"2024-02-14-08-00",0.61
"2024-02-14-09-00",1.06
"2024-02-14-10-00",4.29
"2024-02-14-11-00",9.88
"2024-02-14-12-00",11.58
"2024-02-14-13-00",10.59
"2024-02-14-14-00",5.54
"2024-02-14-15-00",3.14
"2024-02-14-16-00",1.41
"2024-02-14-17-00",0.35
"2024-02-14-18-00",0.
"2024-02-15-07-00",0.
"2024-02-15-08-00",0.38
"2024-02-15-09-00",1.04
"2024-02-15-10-00",2.31
"2024-02-15-11-00",4.04
"2024-02-15-12-00",5.64
"2024-02-15-13-00",5.65
"2024-02-15-14-00",4.75
"2024-02-15-15-00",2.89
"2024-02-15-16-00",1.28
"2024-02-15-17-00",0.16
"2024-02-15-18-00",0.
"2024-02-16-06-00",0.
"2024-02-16-07-00",0.06
"2024-02-16-08-00",0.69
"2024-02-16-09-00",1.26
"2024-02-16-10-00",4.39
"2024-02-16-11-00",9.59
"2024-02-16-12-00",11.09
"2024-02-16-13-00",10.38
"2024-02-16-14-00",8.14
"2024-02-16-15-00",4.28
"2024-02-16-16-00",0.89
"2024-02-16-17-00",0.25
"2024-02-16-18-00",0.
"2024-02-17-06-00",0.
"2024-02-17-07-00",0.06
"2024-02-17-08-00",0.63
"2024-02-17-09-00",1.17
"2024-02-17-10-00",4.86
"2024-02-17-11-00",8.95
"2024-02-17-12-00",8.45
"2024-02-17-13-00",8.59
"2024-02-17-14-00",6.01
"2024-02-17-15-00",1.54
"2024-02-17-16-00",1.03
"2024-02-17-17-00",0.24
"2024-02-17-18-00",0.
"2024-02-18-06-00",0.
"2024-02-18-07-00",0.07
"2024-02-18-08-00",0.57
"2024-02-18-09-00",1.2
"2024-02-18-10-00",3.59
"2024-02-18-11-00",7.19
"2024-02-18-12-00",9.56
"2024-02-18-13-00",7.72
"2024-02-18-14-00",4.29
"2024-02-18-15-00",4.38
"2024-02-18-16-00",1.5
"2024-02-18-17-00",0.43
"2024-02-18-18-00",0.
"2024-02-19-06-00",0.
"2024-02-19-07-00",0.08
"2024-02-19-08-00",0.89
"2024-02-19-09-00",1.76
"2024-02-19-10-00",1.24
"2024-02-19-11-00",2.01
"2024-02-19-12-00",4.25
"2024-02-19-13-00",3.59
"2024-02-19-14-00",2.32
"2024-02-19-15-00",1.63
"2024-02-19-16-00",0.8
"2024-02-19-17-00",0.15
"2024-02-19-18-00",0.
"2024-02-20-06-00",0.
"2024-02-20-07-00",0.08
"2024-02-20-08-00",0.53
"2024-02-20-09-00",1.04
"2024-02-20-10-00",5.76
"2024-02-20-11-00",6.16
"2024-02-20-12-00",9.7
"2024-02-20-13-00",11.63
"2024-02-20-14-00",9.42
"2024-02-20-15-00",5.05
"2024-02-20-16-00",1.34
"2024-02-20-17-00",0.35
"2024-02-20-18-00",0.
"2024-02-21-06-00",0.
"2024-02-21-07-00",0.08
"2024-02-21-08-00",0.55
"2024-02-21-09-00",1.35
"2024-02-21-10-00",6.1
"2024-02-21-11-00",9.46
"2024-02-21-12-00",6.45
"2024-02-21-13-00",4.43
"2024-02-21-14-00",4.08
"2024-02-21-15-00",3.67
"2024-02-21-16-00",2.29
"2024-02-21-17-00",0.65
"2024-02-21-18-00",0.
"2024-02-22-06-00",0.
"2024-02-22-07-00",0.12
"2024-02-22-08-00",1.34
"2024-02-22-09-00",2.63
"2024-02-22-10-00",4.
"2024-02-22-11-00",8.56
"2024-02-22-12-00",8.7
"2024-02-22-13-00",6.25
"2024-02-22-14-00",4.03
"2024-02-22-15-00",1.27
"2024-02-22-16-00",0.49
"2024-02-22-17-00",0.14
"2024-02-22-18-00",0.
"2024-02-23-06-00",0.
"2024-02-23-07-00",0.02
"2024-02-23-08-00",0.63
"2024-02-23-09-00",1.28
"2024-02-23-10-00",1.54
"2024-02-23-11-00",1.86
"2024-02-23-12-00",1.71
"2024-02-23-13-00",2.36
"2024-02-23-14-00",1.89
"2024-02-23-15-00",0.81
"2024-02-23-16-00",0.29
"2024-02-23-17-00",0.03
"2024-02-23-18-00",0.
"2024-02-24-06-00",0.
"2024-02-24-07-00",0.04
"2024-02-24-08-00",1.11
"2024-02-24-09-00",2.29
"2024-02-24-10-00",4.22
"2024-02-24-11-00",5.91
"2024-02-24-12-00",5.5
"2024-02-24-13-00",5.63
"2024-02-24-14-00",4.58
"2024-02-24-15-00",3.37
"2024-02-24-16-00",1.83
"2024-02-24-17-00",0.45
"2024-02-24-18-00",0.
"2024-02-25-06-00",0.
"2024-02-25-07-00",0.15
"2024-02-25-08-00",0.99
"2024-02-25-09-00",2.09
"2024-02-25-10-00",4.
"2024-02-25-11-00",8.79
"2024-02-25-12-00",7.02
"2024-02-25-13-00",3.95
"2024-02-25-14-00",2.38
"2024-02-25-15-00",2.39
"2024-02-25-16-00",0.57
"2024-02-25-17-00",0.19
"2024-02-25-18-00",0.
"2024-02-26-06-00",0.
"2024-02-26-07-00",0.15
"2024-02-26-08-00",1.55
"2024-02-26-09-00",4.2
"2024-02-26-10-00",3.81
"2024-02-26-11-00",4.41
"2024-02-26-12-00",8.7
"2024-02-26-13-00",9.07
"2024-02-26-14-00",7.35
"2024-02-26-15-00",5.12
"2024-02-26-16-00",1.94
"2024-02-26-17-00",0.41
"2024-02-26-18-00",0.
"2024-02-27-06-00",0.
"2024-02-27-07-00",0.19
"2024-02-27-08-00",1.63
"2024-02-27-09-00",3.72
"2024-02-27-10-00",6.77
"2024-02-27-11-00",11.34
"2024-02-27-12-00",9.75
"2024-02-27-13-00",9.33
"2024-02-27-14-00",7.21
"2024-02-27-15-00",5.61
"2024-02-27-16-00",1.52
"2024-02-27-17-00",0.49
"2024-02-27-18-00",0.
"2024-02-28-06-00",0.
"2024-02-28-07-00",0.05
"2024-02-28-08-00",0.99
"2024-02-28-09-00",2.84
"2024-02-28-10-00",5.36
"2024-02-28-11-00",10.84
"2024-02-28-12-00",10.8
"2024-02-28-13-00",9.18
"2024-02-28-14-00",6.41
"2024-02-28-15-00",5.88
"2024-02-28-16-00",2.65
"2024-02-28-17-00",0.58
"2024-02-28-18-00",0.
"2024-02-29-06-00",0.
"2024-02-29-07-00",0.25
"2024-02-29-08-00",1.13
"2024-02-29-09-00",2.01
"2024-02-29-10-00",4.84
"2024-02-29-11-00",8.77
"2024-02-29-12-00",10.46
"2024-02-29-13-00",8.2
"2024-02-29-14-00",8.51
